prolific id,pregunta_01,pregunta_02,pregunta_03,pregunta_04,pregunta_05,pregunta_06,pregunta_07,pregunta_08,pregunta_09,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14
6693085289fec9405a22287f,7,7,2,4,5,5,2,2,2,3,2,3,4,3,
6668daa546d958da3b4ccd5d,5,9,5,3,1,2,3,3,4,3,3,5,3,4,"It was almost like a game. And most of the time, ai was correct in their prediction. Only most of the time though. I thought that was interesting. Personally i believe ai is bad for our environment and will contribute negatively to climate change due to its high demand for water. In that regard, it could potentially aid in wiping us out as a species. Along with all other living beings on earth. Its sad that the earth gave us waterfalls and sunsets and now people just sit in front of screens all day. Struggling to survive while slowly being killed anyway."
61f2aa52a09e72f23cbaf0f5,7,3,1,1,1,4,4,3,3,4,4,5,5,2,
5bf0a682e938aa0001df6c54,7,8,3,5,4,4,2,2,3,3,4,3,5,3,
5d4c7acd2799110019400b6a,7,6,3,1,1,4,2,4,4,4,4,3,4,2,No comment
657db19ca4e2e63c2eb7296f,8,7,5,5,2,4,2,4,4,4,4,2,4,1,"Thank you, enjoy your day!"
60cffac73993c4347f897f1a,9,6,5,5,5,5,1,3,1,3,3,3,5,1,
66659e3342b581f199e47a4d,9,9,3,2,2,4,4,4,4,4,5,5,5,2,
66ad4335036dc64615abb440,7,5,5,5,5,3,4,4,2,3,2,4,4,2,"In most cases I base my results on the AI.
It was very interesting, thank you!"
6404132ea192589b51692c4a,5,2,1,1,1,1,3,3,4,4,4,4,4,4,
664d9194e49497decd4a5536,8,7,4,4,4,3,1,2,3,4,3,3,3,3,Thanks
667db10421f664b943f37ebf,2,9,1,2,2,5,3,4,4,4,3,4,4,2,NA
60dc4e2299f89a7ca94b2c91,9,7,4,4,5,4,1,1,1,1,1,2,2,3,I really enjoyed the experiment.
665fad6a33f0031a4058cc26,7,6,4,3,3,3,4,3,4,4,5,3,4,4,
66882270151cacf387e98f9f,7,6,2,2,3,4,4,2,4,4,2,4,5,5,"I like this kind of unique experiment. I love it. Good luck, guys"
610b64dc95ff0ef5b5b9ac6b,8,1,1,3,1,5,1,3,2,3,1,3,5,2,
63b727ff899db0b1392413ed,5,6,4,4,4,2,1,1,1,1,1,4,4,2,
6685b585168c302d6bf73966,6,4,3,3,1,4,1,3,3,3,2,4,4,2,
66c1fa74a54ce9735cf49fbb,8,8,5,5,5,5,3,1,2,4,3,4,5,3,
663a353df60f3d259872b754,7,9,5,5,5,5,4,1,3,4,4,4,5,4,
640c3e718d10af5614ee82ee,8,8,3,5,2,5,1,2,2,3,2,1,3,2,
660aecfcef9da76dd04ce2b1,7,7,3,4,4,4,2,1,2,4,2,3,3,4,Great study
667f9c4f544c78eff18e2af4,7,7,4,4,4,4,4,3,4,4,5,5,5,5,
65d514731a78f893b95a8516,6,2,1,2,1,2,1,1,3,3,2,3,3,1,Interesting and unique study!
665b2018e787897c9e845a1b,9,9,5,4,4,5,3,4,4,4,3,4,5,4,ok
668e8defc1f9cace8c1f07f3,5,6,4,4,5,5,2,2,2,3,3,3,3,4,
66d66c5428ff7103f6411bff,9,9,5,5,5,5,1,1,2,1,1,1,4,2,
63be6aae1b65a42e794770ee,5,5,3,3,3,4,4,2,2,3,3,3,3,3,
66bba9777e53db38261e7a85,6,6,1,3,1,4,1,2,5,4,4,3,5,4,
66c0df311f98d7c9661669d9,8,4,2,2,1,2,4,5,4,4,3,5,5,2,
66555a211933df17edd3665b,8,5,1,2,2,3,1,1,1,4,1,3,5,2,NA
669ea6987c592df8f45d2dec,9,8,5,5,5,5,1,1,1,1,1,1,1,1,
66acfa7b4f1be1a84aaa0638,6,4,1,3,5,3,1,3,4,5,4,4,4,1,Thank you for this survey.
65bdfc6f682b5c9af4b633b1,9,7,4,4,5,5,1,1,1,1,1,1,1,4,I liked the experiment.
66d620579e7ea624a7a63e19,6,6,5,5,4,4,3,5,2,4,2,3,2,1,I would love to have more studies like this.
667203ff37b522399f42d62f,7,7,3,3,3,3,1,1,1,1,1,1,1,3,
615dbec57d764bf5ab0a56e5,7,9,5,5,4,3,1,4,2,4,4,2,5,5,Interesting study.
66912c5b5e9bf77026a08e27,4,5,4,3,4,2,4,4,4,4,3,4,5,2,
62c9ed717a2882d689eb27c1,9,9,2,3,5,4,1,2,3,4,4,3,4,1,
665d3b8935ef56ce74c4761f,4,7,4,4,2,2,2,3,3,3,3,3,4,2,I learned that most people make more money than I thought! I tried different strategies but struggled to find the common denominator. I think I need to move to wherever these people live since their wages tend to be higher!
62a0e45a42fe6bdc52816cba,4,6,2,2,1,2,3,3,4,3,3,4,4,2,n/a
6653b7079f37e7ce5378b3dc,8,6,3,3,2,4,1,1,1,2,1,1,1,1,
5e121701dc79bd8a1a22ca99,7,9,3,2,1,2,1,3,3,4,5,2,4,1,"The experiment was interesting, clear and easy to understand."
665cdb3c64874f137f328314,8,7,3,3,1,1,1,1,1,2,2,2,2,2,
61bb370140db417c1a138984,7,6,4,4,3,5,2,2,2,2,1,3,2,2,It was a good study. Thanks.
66884713a634c5f082e912a3,8,8,4,4,2,5,4,2,2,3,4,4,5,5,interesting study
65e41e88a96a10f5f38d608e,8,8,3,3,1,4,4,4,4,4,4,4,4,4,
655fd989a5ef07b413f74e24,7,6,4,4,3,4,1,1,1,1,1,1,1,4,"NO, Thank you"
6664f2a4df585dff20e4c1a1,7,7,5,5,3,5,2,4,3,3,2,2,2,1,I enjoyed participating through the AI experiment predictions. I look forward to seeing more studies!
608209b96e955ba5201eff25,4,7,1,1,1,2,1,1,4,4,3,4,5,1,
66a11a89ba4d8204d085ef26,6,5,4,4,3,2,4,4,3,3,2,3,3,3,thank you
663030c6f9b697a222a881ef,7,6,2,2,4,3,1,3,4,4,4,3,4,4,
66c3bdcaeef3aa970f90c75e,6,6,1,1,1,3,2,2,2,2,3,2,2,4,
5f0fab5abdec9a1aff2b2744,6,6,4,4,1,3,4,4,3,2,4,4,3,4,This was an enjoyable study. Thanks for allowing me to take part in it!
638f99069b060e317a097e5d,4,2,4,1,1,1,3,3,3,3,5,5,5,3,I think technology is going to eventually kill us all.
60f45fc7523abdfd3aad4c80,7,6,4,4,4,4,1,1,1,1,1,1,3,1,
5b26da1934ffd00001b45d8d,5,5,2,2,2,2,1,3,1,3,4,3,3,2,
63a41d792fca21c7d4223f3d,6,6,4,4,2,2,2,2,3,3,2,2,3,3,n/a
6669a122ab60c120f94b3aa5,4,4,2,3,3,4,4,3,3,3,3,3,2,3,
66ad2d9aa0be059900b6348f,7,7,1,2,2,5,4,4,4,4,4,4,4,2,
660dbe401a436957395bd9bf,4,6,5,4,1,4,1,3,3,4,3,4,3,1,I found this somewhat confusing. It took me a while to understand and I’m not sure I totally did.
66c9ec618da460fd4d4f66c8,6,7,2,4,5,5,1,1,3,4,3,2,5,3,
6110bcce9a9555a43bfbdb47,6,7,4,4,5,3,2,2,2,1,3,4,4,2,
63179fe6d8b52834c9c8f5f7,9,6,4,1,1,2,1,4,3,3,4,2,3,2,
5c3b9634bef9a20001e46ab5,8,4,3,3,1,4,2,3,5,5,4,5,5,2,
60ea57c074a703877f04330b,8,9,5,5,4,4,1,1,1,1,1,1,1,1,"Great study, had no issues at all."
66af675d4443187f7f816a3d,7,5,2,1,1,1,1,1,2,4,5,2,5,1,None
601a3d5302683a24cef8ec9a,6,5,1,1,1,2,2,1,1,1,1,1,3,1,
6116a378612ec47c9335f3ed,9,9,5,5,5,4,1,3,3,2,1,2,1,3,
662b965d1078345767908a42,6,6,4,2,1,2,1,1,1,1,1,1,2,1,
5f8ac3760d1aa703601582ef,2,8,1,3,5,3,1,1,2,3,4,3,5,1,No comment
5de976f8cbd64d0af38a738e,7,7,4,4,1,5,2,4,4,4,4,3,4,2,
66621ef5860c05fcca83a858,2,6,4,2,3,1,2,2,3,4,4,3,4,1,
66a31849cc7f2fd869bb3b06,9,5,1,1,1,5,5,5,5,5,5,5,5,3,
65b918d4a314afdb09f86c77,7,6,3,4,3,4,1,2,2,3,2,2,4,1,
655e98505bee9eca1beeb734,9,6,5,5,2,2,2,2,3,3,2,3,4,4,This was a fun survey.
66f16ff603404dbb816cc517,5,3,2,2,1,1,2,3,3,4,4,3,5,2,
662727247687607cf8f38c18,9,3,1,2,5,3,2,4,4,4,4,4,5,2,fun experiment!
66d7d94ecf4c9082e82203be,9,8,5,5,5,4,2,1,1,2,1,1,1,1,.
66675c887a593976a91c4b68,6,6,1,1,1,1,1,2,4,4,4,4,4,3,
66e044dfc0fb92e6ec279bac,7,3,3,2,4,2,3,4,3,3,4,4,3,1,Very interesting
668de67f1261927d73e587fa,7,7,3,3,3,5,4,4,4,4,4,4,4,4,
66a017dc4b008452171ea97e,9,6,1,5,1,4,4,2,4,2,5,5,5,2,"This was a great study for me!  You actually showed me how well or poorly I did in the study.  That is great and keeps your interest and makes you want to do better and pay more attention!  
Thank you."
66f1b534d4608543f7ee0dbd,7,3,5,4,5,2,1,3,4,2,2,4,5,1,
5f0a686635f72917e94c7a63,7,4,1,1,1,2,1,1,1,1,1,1,1,1,No opinions
6266a599c7361af8b51a95e0,3,9,1,1,5,5,1,1,4,3,2,2,4,1,"Interesting experiment. It would have been nice to know what the crime was that they committed, not just if it was a misdemeanor or felonious. People change and learn their lessons.  I know I did!!"
6341b868a41dcb8f252c509a,6,6,4,4,3,4,2,2,3,2,2,2,2,2,
667387cf2922ed81b45c9e87,7,6,4,3,4,2,1,2,1,2,1,2,3,2,
655f8edb8b128e01321fbf88,9,7,4,4,5,3,1,1,3,3,1,4,4,1,Thanks for the opportunity
5397a6bbfdf99b1ccc3f1219,6,5,2,2,4,1,3,2,4,3,4,4,5,1,
66aba865d7b13e3fd67b79e4,7,6,1,2,5,3,1,2,4,3,3,4,4,1,
5b16e1a5457ace0001b40d46,5,3,4,4,2,3,2,4,3,4,2,4,4,2,The AI tends to be more lenient than me. I think there's a possibility that AI might have biased predictions because of the data training and algorithms created by the programmer.
5f6cdde7a8d71310b06e402a,8,6,4,4,3,3,1,1,2,2,2,2,2,3,
669d8f03a8742ea4d11b35d8,8,7,3,5,4,3,4,4,2,3,3,4,4,4,
5aa83a71f6dfdd0001eb1690,6,5,2,4,3,4,1,3,2,4,2,3,3,4,
5eb6df62c23fbf5e87db6b4b,6,3,1,1,1,2,1,2,4,4,2,2,4,1,
5e29dc4721a5f20481c70274,6,8,4,3,3,3,1,2,2,3,2,3,4,2,
66a51bbce6016ac7f7686885,7,5,2,3,3,2,1,1,1,1,1,1,1,1,
